"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","Ratio: GFP-A_mCherry-A","mCherry-A","Time"
136892.000000,152969.000000,58648.183594,95885.929688,67833.000000,92638.992188,134.389999,2388.420898,3687.520020,4.115902
87844.500000,98744.000000,58302.046875,77025.937500,57560.000000,87699.304688,59.629997,1066.577393,3663.959961,4.116890
78036.000000,75617.000000,67632.507813,98635.140625,64293.000000,100542.085938,85.440002,19805.371094,282.720001,4.117880
86336.000000,80851.000000,69982.015625,151261.734375,93059.000000,106524.773438,175.330002,30237.849609,380.000000,4.121835
122937.000000,105034.000000,76706.585938,113302.335938,55386.000000,134066.046875,313.279999,9873.730469,2079.359863,4.126780
159347.500000,168753.000000,61883.328125,138300.656250,98289.000000,92214.500000,132.610001,17784.021484,488.679993,4.128758
132341.000000,133704.000000,64867.914063,113381.546875,67692.000000,109770.328125,47.169998,2665.483398,1159.760010,4.129747
61817.000000,84384.000000,48009.562500,101407.492188,87024.000000,76367.914063,113.029999,9736.981445,760.760010,4.129747
78106.500000,98655.000000,51885.742188,56959.109375,47279.000000,78954.132813,461.019989,20262.144531,1491.119995,4.129747
70529.500000,91956.000000,50265.574219,46831.800781,40372.000000,76022.210938,46.279999,4254.565430,712.880005,4.129747
153307.500000,123984.000000,81035.937500,118151.945313,59140.000000,130930.093750,620.330017,8209.304688,4952.160156,4.129747
85711.500000,82424.000000,68149.921875,134060.703125,79672.000000,110274.656250,116.589996,21855.871094,349.600006,4.129747
67302.500000,80807.000000,54583.597656,117041.226563,87655.000000,87506.859375,42.720001,22880.738281,122.360001,4.129747
123723.000000,120703.000000,67175.718750,155626.281250,98635.000000,103402.687500,199.360001,18767.535156,696.159973,4.132713
76258.500000,86522.000000,57761.925781,93327.179688,67706.000000,90336.007813,49.840000,24699.800781,132.240005,4.135681
66745.500000,58363.000000,74948.734375,98345.000000,48991.000000,131557.593750,22.250000,58140.765625,25.080000,4.138647
88006.000000,79020.000000,72988.625000,138997.531250,72632.000000,125417.750000,70.309998,35045.777344,131.479996,4.140625
57991.500000,77310.000000,49159.628906,84026.679688,70138.000000,78513.390625,87.220001,8921.814453,640.679993,4.140625
133309.500000,131085.000000,66648.140625,143805.312500,70441.000000,133791.734375,147.739990,3241.680176,2986.800049,4.140625
76477.500000,90360.000000,55467.347656,43017.257813,33660.000000,83754.570313,32.040001,14241.491211,147.440002,4.142603
78892.000000,100708.000000,51339.175781,56231.089844,46196.000000,79772.296875,581.169983,16415.005859,2320.280029,4.142603
85456.500000,103903.000000,53901.015625,34070.980469,27903.000000,80022.781250,20.469999,728.499207,1841.479980,4.146558
119470.000000,109422.000000,71554.031250,94817.039063,53962.000000,115153.812500,1948.209961,43253.500000,2951.839844,4.148536
69554.500000,75341.000000,60502.562500,98554.148438,55229.000000,116946.617188,53.399998,20020.646484,174.800003,4.149525
173153.000000,158923.000000,71404.109375,174746.156250,87579.000000,130763.820313,112.139999,5987.598633,1227.400024,4.150514
98134.000000,121442.000000,52957.871094,79679.031250,65078.000000,80239.789063,94.339996,11721.982422,527.440002,4.151503
71270.500000,91736.000000,50915.496094,39157.328125,31820.000000,80647.859375,33.820000,2108.706299,1051.079956,4.151503
212675.000000,157488.000000,88501.140625,109623.078125,50128.000000,143318.265625,1048.420044,39791.625000,1726.719971,4.155459
189107.000000,135894.000000,91198.406250,88986.648438,44066.000000,132343.062500,62.299999,998.551453,4088.800049,4.156447
119944.500000,140524.000000,55938.367188,84976.312500,63548.000000,87634.664063,226.059998,5300.009766,2795.280029,4.157436
73063.500000,82949.000000,57725.707031,119688.085938,85873.000000,91342.781250,30.260000,8179.804199,242.440002,4.160404
146427.500000,117224.000000,81862.687500,135856.718750,68840.000000,129336.242188,364.899994,6790.199219,3521.839844,4.160404
94967.500000,111726.000000,55705.835938,56564.839844,41678.000000,88944.609375,28.480000,2158.054443,864.880005,4.161392
100332.500000,114198.000000,57578.863281,78445.492188,56322.000000,91278.789063,36.489998,2048.553467,1167.359985,4.161392
150123.500000,122708.000000,80178.101563,128348.679688,70852.000000,118718.734375,137.949997,10640.072266,849.679993,4.162381
140896.000000,150466.000000,61367.757813,101653.125000,70498.000000,94498.273438,1537.919922,23779.228516,4238.520020,4.162381
65567.500000,69513.000000,61816.230469,84126.359375,55181.000000,99913.109375,46.279999,19372.728516,156.559998,4.163370
127626.500000,143478.000000,58295.558594,94066.765625,60386.000000,102089.218750,1600.219971,36708.957031,2856.839844,4.163370
131598.500000,133998.000000,64362.445313,102162.210938,66190.000000,101152.789063,769.849976,262143.000000,174.039993,4.163370
72254.500000,76036.000000,62276.699219,115359.125000,67920.000000,111310.015625,57.849998,33935.222656,111.720001,4.164359
87423.000000,102686.000000,55794.886719,58405.359375,44378.000000,86251.148438,375.579987,14876.771484,1654.520020,4.164359
64329.500000,75139.000000,56107.988281,108428.695313,74035.000000,95981.406250,49.840000,16217.984375,201.399994,4.164359
138689.000000,137152.000000,66270.437500,173915.781250,103716.000000,109893.796875,77.430000,61823.015625,82.080002,4.165348
141548.500000,149500.000000,62050.320313,119185.234375,76572.000000,102007.570313,977.219971,145037.703125,441.559998,4.165348
168198.500000,136048.000000,81023.296875,157109.921875,79860.000000,128930.078125,555.359985,17201.646484,2115.840088,4.166337
175958.500000,128216.000000,89938.984375,70248.585938,33048.000000,139306.796875,40.939999,22343.714844,120.080002,4.166337
61535.000000,73804.000000,54641.453125,97677.500000,70588.000000,90686.703125,32.930000,41153.554688,52.439999,4.167326
79589.500000,82370.000000,63323.753906,120153.554688,77238.000000,101949.601563,62.299999,26334.349609,155.039993,4.168315
63837.000000,77452.000000,54015.671875,91703.820313,66872.000000,89871.726563,46.279999,35316.660156,85.879997,4.168315
177723.500000,126404.000000,92143.351563,115360.906250,50852.000000,148672.484375,730.690002,14877.997070,3218.599854,4.168315
142332.500000,149958.000000,62203.437500,128859.539063,78322.000000,107823.328125,8172.869629,262143.000000,910.479980,4.169304
79600.500000,94885.000000,54979.167969,64047.957031,52229.000000,80366.218750,44.500000,3243.694336,899.080017,4.171281
120505.000000,139313.000000,56688.289063,69751.078125,49205.000000,92901.265625,450.339996,8322.626953,3546.159912,4.172270
86722.000000,101460.000000,56016.296875,74022.187500,54240.000000,89438.015625,2281.959961,40926.843750,3654.079834,4.174248
191695.000000,137096.000000,91635.960938,143388.781250,65772.000000,142874.281250,226.059998,3608.559082,4105.520020,4.175237
117523.500000,123869.000000,62178.753906,64381.707031,39193.000000,107654.921875,251.869995,6163.185059,2678.239990,4.177215
167955.000000,131769.000000,83533.304688,105402.695313,52233.000000,132247.265625,1757.750000,99457.335938,1158.239990,4.178204
111044.500000,126481.000000,57537.589844,86767.875000,63029.000000,90219.101563,155.750000,14394.980469,709.080017,4.179193
100489.000000,119651.000000,55040.472656,74141.445313,54707.000000,88817.406250,56.959999,1510.837280,2470.760010,4.179193
98904.000000,114486.000000,56616.292969,91014.960938,68626.000000,86916.859375,456.570007,11096.562500,2696.479980,4.181171
65148.500000,45665.000000,93497.687500,72639.125000,32005.000000,148741.687500,26.699999,62226.332031,28.119999,4.181171
73335.500000,67078.000000,71649.656250,115194.476563,66546.000000,113446.117188,16.020000,39469.273438,26.600000,4.181171
57321.000000,75356.000000,49851.226563,75502.257813,61496.000000,80462.406250,17.799999,13464.176758,86.639999,4.183149
122780.000000,142624.000000,56417.644531,76960.968750,54496.000000,92552.007813,906.909973,13972.482422,4253.719727,4.188093
93999.000000,71861.000000,85725.484375,135115.343750,65925.000000,134318.078125,63.189999,54489.527344,76.000000,4.189082
122718.500000,130538.000000,61610.250000,115170.445313,66234.000000,113956.742188,97.010002,5393.483887,1178.760010,4.189082
167830.500000,178619.000000,61577.656250,111932.625000,77295.000000,94904.148438,47.169998,9437.419922,327.559998,4.189082
104727.000000,103214.000000,66496.679688,91673.554688,49454.000000,121484.984375,154.860001,2646.407471,3834.959961,4.190071
124158.500000,131319.000000,61962.484375,101104.000000,70487.000000,94002.476563,90.779999,20332.656250,292.600006,4.193038
120988.000000,119837.000000,66165.453125,91614.820313,56713.000000,105867.593750,71.199997,2678.736816,1741.919922,4.193038
109491.500000,111949.000000,64097.359375,57472.640625,36557.000000,103031.625000,169.989990,11096.480469,1003.959961,4.193038
92140.500000,78968.000000,76467.929688,96607.718750,52296.000000,121066.312500,84.549995,23983.066406,231.039993,4.194027
159723.000000,147652.000000,70893.773438,107544.929688,61108.000000,115337.835938,56.070000,30796.089844,119.320000,4.194027
100509.500000,120418.000000,54701.046875,50307.250000,39346.000000,83793.429688,42.720001,3124.511475,896.039978,4.195016
126562.000000,140297.000000,59120.058594,75293.109375,48937.000000,100831.875000,874.869995,16749.806641,3423.040039,4.196004
61243.500000,64573.000000,62156.847656,94646.156250,61165.000000,101409.796875,3.560000,4581.839355,50.919998,4.197982
142202.500000,135781.000000,68635.398438,91520.476563,53509.000000,112091.156250,51.619999,561.389465,6026.040039,4.199961
82446.000000,79236.000000,68190.992188,146034.750000,91508.000000,104586.843750,62.299999,26996.011719,151.240005,4.200949
110819.500000,115457.000000,62903.652344,62803.738281,40113.000000,102607.773438,33.820000,1235.737671,1793.599976,4.206883
71408.500000,84061.000000,55671.804688,87980.054688,57293.000000,100638.140625,69.419998,43065.996094,105.639999,4.206883
84008.000000,102947.000000,53479.449219,62915.878906,50775.000000,81206.398438,278.570007,5241.422363,3483.080078,4.207872
114691.000000,117876.000000,63765.226563,69970.906250,51988.000000,88205.226563,4.450000,2205.339355,132.240005,4.209850
84544.000000,74257.000000,74614.859375,116698.578125,67073.000000,114024.390625,50.730000,16570.119141,200.639999,4.210838
113523.000000,121344.000000,61312.000000,85579.726563,56980.000000,98430.210938,47.169998,1554.865356,1988.160034,4.211827
102406.000000,90832.000000,73886.742188,125248.804688,76464.000000,107348.632813,74.760002,29708.058594,164.919998,4.211827
125641.000000,133373.000000,61736.695313,101151.171875,68013.000000,97467.296875,365.790009,7860.087402,3049.879883,4.212816
188490.500000,156727.000000,78818.031250,158255.343750,95155.000000,108995.023438,160.199997,9252.676758,1134.679932,4.212816
147894.500000,103932.000000,93257.265625,84377.335938,38728.000000,142784.375000,618.549988,10009.071289,4050.040039,4.213805
104207.500000,107034.000000,63805.359375,124582.195313,81486.000000,100196.585938,364.899994,7639.180176,3130.439941,4.214794
92057.500000,68139.000000,88540.773438,134081.171875,63179.000000,139083.296875,72.979996,15772.321289,303.239990,4.215783
106949.500000,116281.000000,60276.765625,80021.679688,55069.000000,95231.453125,1378.609985,24969.390625,3618.359863,4.216772
101865.500000,117309.000000,56908.312500,82346.359375,60301.000000,89495.218750,137.949997,8515.104492,1061.719971,4.217761
