"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","Ratio: GFP-A_mCherry-A","mCherry-A","Time"
111794.500000,112642.000000,65042.917969,121759.117188,87378.000000,91322.820313,2170.709961,262143.000000,2227.560059,2.423862
124912.500000,139812.000000,58551.953125,115178.460938,77428.000000,97488.445313,160.199997,262143.000000,1798.919922,2.423862
145438.500000,118897.000000,80165.671875,125400.109375,80577.000000,101992.148438,1398.189941,262143.000000,2249.599854,2.424908
118845.000000,125809.000000,61908.335938,109285.765625,74213.000000,96508.046875,65.860001,262143.000000,5370.919922,2.427001
122438.500000,131794.000000,60883.878906,87742.429688,62402.000000,92149.101563,1799.579956,262143.000000,2027.679932,2.428048
182728.500000,157772.000000,75902.531250,133353.140625,70280.000000,124351.617188,2759.889893,262143.000000,10646.080078,2.429095
177878.000000,151372.000000,77011.687500,158672.750000,87324.000000,119082.703125,130.830002,262143.000000,5902.160156,2.431188
139626.500000,121557.000000,75277.945313,131913.125000,73377.000000,117817.023438,1028.839966,262143.000000,1736.599976,2.431188
86648.500000,99646.000000,56987.699219,72010.789063,54298.000000,86914.789063,1481.849976,262143.000000,4091.079834,2.433281
167012.500000,166705.000000,65656.882813,97053.609375,59365.000000,107142.343750,1472.949951,262143.000000,535.039978,2.434328
149291.500000,157004.000000,62316.675781,88526.515625,58392.000000,99357.335938,1032.400024,262143.000000,475.759979,2.435374
134536.000000,141043.000000,62512.507813,91512.468750,59667.000000,100513.875000,541.119995,262143.000000,2843.919922,2.437467
120294.500000,129563.000000,60847.773438,141660.406250,93483.000000,99310.640625,194.020004,262143.000000,330.600006,2.441653
162732.000000,154725.000000,68927.484375,126725.320313,75585.000000,109877.234375,1899.260010,262143.000000,4679.319824,2.441653
127572.000000,118282.000000,70683.273438,106423.531250,63914.000000,109124.335938,1447.140015,262143.000000,4347.959961,2.442700
120842.000000,129755.000000,61034.273438,95076.921875,62507.000000,99684.218750,840.159973,262143.000000,521.359985,2.442700
145256.500000,153186.000000,62143.605469,166615.125000,118370.000000,92247.093750,123.709999,262143.000000,2598.439941,2.444793
138854.000000,127357.000000,71452.187500,107531.578125,66345.000000,106220.351563,756.500000,262143.000000,1365.719971,2.445840
141520.000000,154116.000000,60179.703125,71476.789063,50260.000000,93201.414063,3987.199951,262143.000000,1245.640015,2.446886
134865.000000,139792.000000,63226.167969,131978.984375,87040.000000,99372.406250,3644.550049,262143.000000,4566.839844,2.451073
134308.500000,136285.000000,64585.554688,112272.609375,67405.000000,109159.531250,517.089966,262143.000000,1615.000000,2.451073
133504.000000,145587.000000,60096.839844,130984.859375,87619.000000,97972.171875,2459.959961,262143.000000,2720.800049,2.451073
124643.500000,137080.000000,59590.285156,138395.890625,93388.000000,97120.757813,695.089966,262143.000000,663.479980,2.451073
99494.000000,106602.000000,61166.199219,103625.367188,70378.000000,96495.953125,1340.339966,262143.000000,1903.039917,2.452119
64839.500000,67521.000000,62933.332031,94526.007813,62433.000000,99224.070313,63.189999,262143.000000,351.880005,2.453166
164329.500000,139304.000000,77309.328125,135856.718750,70028.000000,127142.078125,526.880005,262143.000000,4449.799805,2.457352
85136.000000,104219.000000,53536.039063,97065.179688,66379.000000,95832.476563,45.389999,262143.000000,678.679993,2.457352
128807.000000,131290.000000,64296.558594,87395.328125,60590.000000,94529.460938,205.589996,262143.000000,2795.280029,2.458399
195430.500000,140773.000000,90981.460938,141178.921875,65601.000000,141039.046875,479.709991,262143.000000,2998.959961,2.458399
79007.000000,93360.000000,55460.609375,59149.398438,46772.000000,82878.968750,203.809998,262143.000000,67.639999,2.459445
134777.000000,141401.000000,62465.937500,134779.812500,77577.000000,113860.179688,2033.650024,262143.000000,3860.040039,2.459445
158742.000000,130417.000000,79769.632813,98566.609375,55937.000000,115481.007813,3264.520020,262143.000000,5340.520020,2.460492
