"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","Ratio: GFP-A_mCherry-A","mCherry-A","Time"
135710.000000,133869.000000,66437.265625,111209.945313,77837.000000,93634.843750,396.940002,262143.000000,611.799988,3.480715
70697.500000,88550.000000,52323.332031,49637.078125,39366.000000,82635.164063,1336.780029,262143.000000,1173.439941,3.482044
166041.000000,141284.000000,77019.789063,105167.742188,53252.000000,129427.507813,77.430000,262143.000000,246.239990,3.483375
140854.500000,115041.000000,80241.304688,57752.988281,32981.000000,114760.007813,45.389999,262143.000000,1129.359985,3.483375
102013.500000,112829.000000,59253.890625,75245.937500,54521.000000,90448.046875,105.019997,262143.000000,506.919983,3.483375
81113.500000,106712.000000,49814.964844,52955.000000,43180.000000,80371.906250,72.089996,262143.000000,2245.800049,3.484705
172187.000000,129948.000000,86838.179688,87099.851563,38684.000000,147559.093750,48.059998,262143.000000,1095.920044,3.484705
63116.500000,68825.000000,60100.300781,60006.468750,44301.000000,88769.656250,32.040001,262143.000000,584.440002,3.484705
78972.500000,92278.000000,56086.410156,83344.937500,61794.000000,88391.984375,135.279999,262143.000000,1431.839966,3.484705
110880.500000,125543.000000,57881.871094,113842.570313,76519.000000,97502.398438,59.629997,262143.000000,404.320007,3.484705
88999.000000,107560.000000,54226.835938,77350.789063,58076.000000,87286.687500,112.139999,262143.000000,1589.919922,3.484705
108872.000000,108124.000000,65989.382813,55369.570313,39740.000000,91311.031250,1595.770020,262143.000000,2204.760010,3.486035
94695.500000,107614.000000,57668.750000,83762.351563,63582.000000,86336.531250,13.349999,262143.000000,98.040001,3.490025
64887.000000,82424.000000,51592.191406,59457.339844,49976.000000,77969.351563,647.029968,262143.000000,1504.040039,3.491355
60282.000000,82537.000000,47865.093750,75946.367188,67213.000000,74051.468750,-1.780000,262143.000000,353.399994,3.498005
127855.000000,120681.000000,69431.851563,127833.367188,75677.000000,110703.226563,412.070007,262143.000000,1346.719971,3.498005
123711.000000,135432.000000,59864.171875,64785.769531,44012.000000,96469.156250,1034.179932,262143.000000,5241.719727,3.499335
65977.000000,85377.000000,50644.421875,60893.800781,51633.000000,77290.421875,37.380001,262143.000000,48.639999,3.499335
127657.500000,121402.000000,68912.890625,118912.898438,75390.000000,103370.148438,1436.459961,262143.000000,2780.839844,3.499335
96722.500000,93056.000000,68118.187500,94302.617188,56752.000000,108898.656250,524.210022,262143.000000,1288.959961,3.500665
197858.000000,144072.000000,90002.375000,123031.820313,59932.000000,134536.031250,791.209961,262143.000000,4993.199707,3.501995
90318.500000,78768.000000,75146.171875,98319.187500,50052.000000,128735.046875,66.750000,262143.000000,1463.760010,3.503325
110244.000000,114454.000000,63125.371094,100678.578125,65202.000000,101194.312500,16.910000,262143.000000,914.279968,3.503325
172740.500000,146387.000000,77334.210938,143345.171875,78343.000000,119912.039063,1115.169922,262143.000000,3333.359863,3.503325
201249.500000,163164.000000,80833.320313,122629.539063,54376.000000,147797.734375,657.709961,262143.000000,1034.359985,3.503325
88765.000000,103313.000000,56307.562500,62927.449219,45333.000000,90971.554688,5.340000,262143.000000,681.719971,3.507315
100455.000000,115599.000000,56950.488281,63101.000000,49247.000000,83972.367188,920.260010,262143.000000,3126.639893,3.508645
123340.000000,115122.000000,70214.296875,128286.375000,78038.000000,107734.382813,977.219971,262143.000000,2561.199951,3.509975
77594.000000,95843.000000,53057.609375,60508.429688,47619.000000,83275.179688,20.469999,262143.000000,1102.000000,3.509975
89685.500000,102353.000000,57425.078125,100149.031250,78885.000000,83201.710938,588.289978,262143.000000,1570.160034,3.509975
169933.000000,162164.000000,68675.726563,89865.078125,63412.000000,92875.132813,1497.869995,262143.000000,2280.000000,3.511305
212162.000000,126228.000000,110151.867188,120958.117188,47140.000000,168161.031250,743.149963,262143.000000,3540.079834,3.512635
155851.500000,168873.000000,60482.632813,78959.015625,51293.000000,100884.304688,652.369995,262143.000000,1412.079956,3.512635
86530.000000,103149.000000,54977.070313,118016.671875,83657.000000,92453.007813,184.229996,262143.000000,867.159973,3.515295
95037.000000,121252.000000,51366.945313,49256.160156,39520.000000,81681.468750,308.829987,262143.000000,576.080017,3.515295
69877.500000,85385.000000,53633.453125,50079.410156,35257.000000,93088.015625,75.650002,262143.000000,1051.079956,3.515295
78179.500000,95093.000000,53879.597656,95557.515625,76913.000000,81422.609375,1732.829956,262143.000000,4284.120117,3.520616
144734.000000,163393.000000,58051.980469,99471.742188,65861.000000,98980.890625,449.449982,262143.000000,1453.880005,3.520616
166875.000000,164283.000000,66570.007813,178240.296875,97727.000000,119528.445313,297.260010,262143.000000,886.159973,3.521945
96055.000000,105062.000000,59917.574219,85060.859375,59234.000000,94110.625000,537.559998,262143.000000,1576.239990,3.524606
124276.500000,117682.000000,69208.421875,63354.648438,38850.000000,106872.851563,906.019958,262143.000000,1668.959961,3.525936
