"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","GFP-A","mCherry-A","Time"
140630.406250,69070.515625,133434.000000,144460.671875,95366.109375,99274.000000,18893.279297,21490.109375,1.836026
96945.601563,62555.277344,101565.000000,91297.914063,88263.585938,67789.000000,123.479996,25924.859375,1.836833
121574.406250,62260.687500,127970.000000,100894.078125,86508.554688,76434.000000,1354.079956,34873.738281,1.836833
119019.007813,62221.539063,125359.000000,122894.515625,80579.632813,99951.000000,180.599991,3502.439941,1.836833
110808.007813,60297.871094,120434.000000,89055.960938,81767.093750,71378.000000,2129.399902,4356.990234,1.836833
181006.812500,70439.671875,168406.000000,157608.359375,96135.789063,107442.000000,225.959991,321.570007,1.836833
191457.609375,69050.078125,181714.000000,117164.875000,98677.843750,77814.000000,149.519989,267.299988,1.836833
182895.000000,69864.757813,171563.000000,118797.835938,95487.031250,81535.000000,1042.439941,24497.640625,1.836833
176294.406250,69580.906250,166046.000000,155085.000000,92160.554688,110282.000000,1207.079956,28550.070313,1.836833
136366.812500,66625.437500,134137.000000,87484.320313,85566.335938,67005.000000,3003.000000,16569.359375,1.836833
126436.203125,116722.398438,70990.000000,182841.109375,100030.687500,119790.000000,1328.039917,7180.649902,1.836833
193087.812500,89487.804688,141407.000000,169198.671875,99119.562500,111871.000000,9020.759766,18114.029297,1.836833
119539.203125,60378.117188,129751.000000,156462.593750,78188.945313,131143.000000,80.639999,89.910004,1.836833
114481.203125,65123.691406,115206.000000,80198.156250,81992.226563,64102.000000,1466.640015,9381.419922,1.836833
188013.000000,82854.468750,148714.000000,135320.640625,118437.640625,74878.000000,9020.759766,14039.730469,1.837641
160047.000000,70912.226563,147913.000000,149262.109375,103224.203125,94765.000000,45826.199219,45993.421875,1.837641
121618.203125,61638.171875,129309.000000,84572.875000,83435.968750,66429.000000,5103.000000,17460.359375,1.837641
118729.203125,60097.289063,129474.000000,74342.515625,82424.484375,59110.000000,348.599976,17695.259766,1.837641
96444.601563,59406.867188,106395.000000,78750.000000,81107.640625,63631.000000,47.879997,100.440002,1.837641
114747.601563,65950.164063,114027.000000,94724.273438,85466.382813,72635.000000,1494.359985,18173.160156,1.837641
145999.812500,73633.593750,129944.000000,137383.671875,97142.718750,92684.000000,6655.319824,27486.541016,1.837641
123802.203125,65945.203125,123034.000000,133943.031250,89647.359375,97918.000000,162.119995,29205.359375,1.838449
117328.804688,61973.183594,124074.000000,142479.109375,85260.054688,109518.000000,18618.599609,44983.351563,1.838449
202798.203125,88645.843750,149929.000000,153272.281250,124940.632813,80397.000000,4081.559814,30705.480469,1.838449
81528.000000,63661.179688,83929.000000,95607.953125,79939.820313,78381.000000,68.040001,84.239998,1.838449
